Match,Time,Result,Player,Team,Opponent,X ball,Y ball,X player,Y player,Game State,Crossed?,Not from Cross,Indirectly from Cross,Directly from Cross
Match 10,58:21,On Target,Léo Costa,Mumbai City FC,Atlético de Kolkata,10.06,34.27,35.87,55.31,1,Not from Cross,1,0,0
Match 10,64:50,Off Target,Sameehg Doutie,Atlético de Kolkata,Mumbai City FC,17.92,32.2,17.2,24.15,-1,Directly from Cross,0,0,1
Match 10,76:23,Off Target,Stephen Pearson,Atlético de Kolkata,Mumbai City FC,5.25,32.8,13.34,44.3,-1,Not from Cross,1,0,0
Match 10,77:59,Off Target,Juan Belencoso,Atlético de Kolkata,Mumbai City FC,5.69,39.9,15.53,29.62,-1,Directly from Cross,0,0,1
Match 10,83:1,Goal,Javier Grande,Atlético de Kolkata,Mumbai City FC,7.81,30.1,24.17,42.59,0,Not from Cross,1,0,0
Match 10,83:1,On Target,Javier Grande,Atlético de Kolkata,Mumbai City FC,7.33,30.1,24.17,41.12,0,Not from Cross,1,0,0
Match 10,84:30,Off Target,Juan Belencoso,Atlético de Kolkata,Mumbai City FC,5.03,29.62,13.56,32.31,0,Not from Cross,1,0,0
Match 10,87:33,On Target,José Arroyo,Atlético de Kolkata,Mumbai City FC,15.75,35.85,21.0,33.9,0,Not from Cross,1,0,0
Match 10,87:43,On Target,Stephen Pearson,Atlético de Kolkata,Mumbai City FC,15.75,36.1,20.09,46.83,0,Not from Cross,1,0,0
Match 11,5:27,On Target,Jonatan Lucca,FC Pune City,NorthEast United FC,7.33,37.69,31.01,26.68,0,Not from Cross,1,0,0
Match 11,6:42,Off Target,Koffi N'dri,NorthEast United FC,FC Pune City,2.69,40.38,34.43,9.79,0,Not from Cross,1,0,0
Match 11,13:46,Off Target,Koffi N'dri,NorthEast United FC,FC Pune City,0.49,39.9,28.57,40.87,0,Not from Cross,1,0,0
Match 11,17:53,On Target,Nicolas Velez,NorthEast United FC,FC Pune City,15.97,36.22,21.44,39.16,0,Directly from Cross,0,0,1
Match 11,18:37,Off Target,Jesus Tato,FC Pune City,NorthEast United FC,5.37,35.98,36.38,55.8,0,Not from Cross,1,0,0
Match 11,19:59,Off Target,Koffi N'dri,NorthEast United FC,FC Pune City,0.49,33.04,15.14,30.59,0,Not from Cross,1,0,0
Match 11,22:54,Off Target,Mohamed Sissoko,FC Pune City,NorthEast United FC,4.88,28.15,17.83,38.92,0,Not from Cross,1,0,0
Match 11,28:37,Off Target,Holicharan Narzary,NorthEast United FC,FC Pune City,2.2,27.17,12.94,26.68,0,Not from Cross,1,0,0
Match 11,29:44,Off Target,Lenny Rodrigues,FC Pune City,NorthEast United FC,6.59,34.76,30.52,21.29,0,Not from Cross,1,0,0
Match 11,45:10,Off Target,Jonatan Lucca,FC Pune City,NorthEast United FC,5.86,44.55,29.3,33.29,0,Not from Cross,1,0,0
Match 11,51:54,On Target,Jonatan Lucca,FC Pune City,NorthEast United FC,3.91,35.73,22.22,42.1,0,Not from Cross,1,0,0
Match 11,53:30,Off Target,Lenny Rodrigues,FC Pune City,NorthEast United FC,2.69,38.92,27.1,34.02,0,Not from Cross,1,0,0
Match 11,56:47,On Target,Koffi N'dri,NorthEast United FC,FC Pune City,7.08,37.94,27.35,46.01,0,Not from Cross,1,0,0
Match 11,57:33,Off Target,Nicolas Velez,NorthEast United FC,FC Pune City,7.57,45.28,25.4,24.97,0,Not from Cross,1,0,0
Match 11,60:58,On Target,Arata Izumi,FC Pune City,NorthEast United FC,2.2,32.31,26.37,31.08,0,Not from Cross,1,0,0
Match 11,61:25,Off Target,Nicolas Velez,NorthEast United FC,FC Pune City,4.88,38.43,21.98,35.49,0,Not from Cross,1,0,0
Match 11,68:6,Off Target,Jonatan Lucca,FC Pune City,NorthEast United FC,3.17,37.69,24.17,38.43,0,Not from Cross,1,0,0
Match 11,69:30,Off Target,Jonatan Lucca,FC Pune City,NorthEast United FC,1.95,29.86,21.24,29.62,0,Not from Cross,1,0,0
Match 11,79:25,On Target,Emiliano Alfaro,NorthEast United FC,FC Pune City,6.35,39.41,14.16,34.76,0,Not from Cross,1,0,0
Match 11,79:25,Goal,Emiliano Alfaro,NorthEast United FC,FC Pune City,5.86,39.65,13.43,35.73,1,Not from Cross,1,0,0
Match 11,82:30,Off Target,Dramane Traore,FC Pune City,NorthEast United FC,0.98,23.25,16.36,32.8,-1,Directly from Cross,0,0,1
Match 11,83:35,Off Target,Dramane Traore,FC Pune City,NorthEast United FC,1.47,21.54,15.38,35.24,-1,Not from Cross,1,0,0
Match 11,83:50,On Target,Jesus Tato,FC Pune City,NorthEast United FC,11.23,35.0,20.27,41.61,-1,Not from Cross,1,0,0
Match 11,86:34,On Target,Nicolas Velez,NorthEast United FC,FC Pune City,7.33,35.98,16.36,25.94,1,Not from Cross,1,0,0
Match 11,90:0,On Target,Koffi N'dri,NorthEast United FC,FC Pune City,6.59,40.14,18.31,48.71,1,Directly from Cross,0,0,1
Match 12,15:22,On Target,Hans Mulder,Chennaiyin FC,FC Goa,5.13,35.0,27.59,40.63,0,Not from Cross,1,0,0
Match 12,15:22,Goal,Hans Mulder,Chennaiyin FC,FC Goa,4.4,34.76,26.37,41.12,1,Not from Cross,1,0,0
Match 12,22:4,On Target,Rafael Dumas,FC Goa,Chennaiyin FC,2.93,32.8,12.21,33.53,-1,Directly from Cross,0,0,1
Match 12,26:13,On Target,M'rajuddin Wadoo,Chennaiyin FC,FC Goa,4.15,34.02,26.13,28.64,1,Not from Cross,1,0,0
Match 12,26:13,Goal,M'rajuddin Wadoo,Chennaiyin FC,FC Goa,6.59,34.51,24.91,25.94,2,Not from Cross,1,0,0
Match 12,35:59,Off Target,Rafael Luiz,FC Goa,Chennaiyin FC,-0.98,32.31,8.79,33.04,-2,Indirectly from Cross,0,1,0
Match 12,42:41,Off Target,Rafael Luiz,FC Goa,Chennaiyin FC,2.44,27.66,19.78,45.77,-2,Not from Cross,1,0,0
Match 12,49:33,Off Target,Rafael Luiz,FC Goa,Chennaiyin FC,4.4,31.82,16.85,27.41,-2,Not from Cross,1,0,0
Match 12,54:10,Off Target,Davide Succi,Chennaiyin FC,FC Goa,1.47,25.45,12.45,24.48,2,Not from Cross,1,0,0
Match 12,68:45,On Target,Raju Gaikwad,FC Goa,Chennaiyin FC,6.59,41.85,14.41,46.75,-2,Not from Cross,1,0,0
Match 12,78:16,Off Target,Baljit Sahni,Chennaiyin FC,FC Goa,1.22,27.17,5.62,25.21,2,Not from Cross,1,0,0
Match 12,79:35,Off Target,Trindade Goncalves,FC Goa,Chennaiyin FC,4.15,38.92,31.74,40.87,-2,Not from Cross,1,0,0
Match 12,87:0,On Target,Trindade Goncalves,FC Goa,Chennaiyin FC,7.33,41.12,17.83,49.93,-2,Not from Cross,1,0,0
Match 13,1:32,On Target,Mohammed Rafi,Kerala Blasters FC,Mumbai City FC,6.12,37.52,13.78,38.62,0,Not from Cross,1,0,0
Match 13,2:51,On Target,Lucian Goian,Mumbai City FC,Kerala Blasters FC,NaN,NaN,9.28,33.29,0,Not from Cross,1,0,0
Match 13,3:49,Off Target,Mohammed Rafi,Kerala Blasters FC,Mumbai City FC,4.59,32.26,11.59,23.7,0,Not from Cross,1,0,0
Match 13,17:34,Off Target,Kervens Belfort,Kerala Blasters FC,Mumbai City FC,14.44,41.69,20.12,53.32,0,Not from Cross,1,0,0
Match 13,25:55,Off Target,Mehtab Hossain,Kerala Blasters FC,Mumbai City FC,6.56,45.64,29.75,33.13,0,Not from Cross,1,0,0
Match 13,29:9,Off Target,Josu Currais,Kerala Blasters FC,Mumbai City FC,5.69,29.62,28.66,49.59,0,Not from Cross,1,0,0
Match 13,41:56,Off Target,Cedric Hengbart,Kerala Blasters FC,Mumbai City FC,3.94,35.77,13.56,34.67,0,Not from Cross,1,0,0
Match 13,45:50,On Target,Michael Chopra,Kerala Blasters FC,Mumbai City FC,6.34,35.77,12.69,28.75,0,Directly from Cross,0,0,1
Match 13,47:0,Off Target,Mohammed Rafi,Kerala Blasters FC,Mumbai City FC,5.03,41.91,14.87,38.62,0,Not from Cross,1,0,0
Match 13,48:53,Off Target,Josu Currais,Kerala Blasters FC,Mumbai City FC,1.97,39.06,23.19,18.43,0,Not from Cross,1,0,0
Match 13,50:58,Off Target,Sehnaj Singh,Mumbai City FC,Kerala Blasters FC,5.03,46.52,30.19,30.28,0,Not from Cross,1,0,0
Match 13,53:7,On Target,Azrack Mahamat,Kerala Blasters FC,Mumbai City FC,2.63,33.35,15.75,33.13,0,Not from Cross,1,0,0
Match 13,58:26,On Target,Michael Chopra,Kerala Blasters FC,Mumbai City FC,1.53,29.84,6.34,33.79,0,Not from Cross,1,0,0
Match 13,58:26,Goal,Michael Chopra,Kerala Blasters FC,Mumbai City FC,1.22,29.13,5.62,32.31,1,Not from Cross,1,0,0
Match 13,68:55,Off Target,Mohammed Rafi,Kerala Blasters FC,Mumbai City FC,0.22,38.84,24.94,26.11,1,Not from Cross,1,0,0
Match 13,69:35,On Target,Sony Norde,Mumbai City FC,Kerala Blasters FC,7.87,37.96,18.16,46.74,-1,Not from Cross,1,0,0
Match 13,90:35,Off Target,Josu Currais,Kerala Blasters FC,Mumbai City FC,0.88,38.18,28.88,56.83,1,Not from Cross,1,0,0
Match 14,2:5,On Target,Marcelo Pereira,Delhi Dynamos FC,NorthEast United FC,4.88,36.96,29.55,21.29,0,Not from Cross,1,0,0
Match 14,17:7,Off Target,Marcos Tébar,Delhi Dynamos FC,NorthEast United FC,4.15,43.81,12.94,41.36,0,Not from Cross,1,0,0
Match 14,19:46,On Target,Milan Singh,Delhi Dynamos FC,NorthEast United FC,5.13,40.14,31.99,34.76,0,Not from Cross,1,0,0
Match 14,19:57,On Target,Kean Lewis,Delhi Dynamos FC,NorthEast United FC,4.88,40.14,10.01,47.24,0,Not from Cross,1,0,0
Match 14,20:12,Off Target,Marcelo Pereira,Delhi Dynamos FC,NorthEast United FC,2.69,34.27,13.67,24.23,0,Not from Cross,1,0,0
Match 14,25:37,Off Target,Katsumi Yusa,NorthEast United FC,Delhi Dynamos FC,1.95,38.92,12.45,23.5,0,Not from Cross,1,0,0
Match 14,25:56,Off Target,Emiliano Alfaro,NorthEast United FC,Delhi Dynamos FC,1.71,23.5,13.19,33.53,0,Not from Cross,1,0,0
Match 14,28:32,Off Target,Rowllin Borges,NorthEast United FC,Delhi Dynamos FC,0.98,38.67,30.77,32.8,0,Not from Cross,1,0,0
Match 14,32:48,Off Target,Nicolas Velez,NorthEast United FC,Delhi Dynamos FC,1.22,25.7,28.81,36.47,0,Not from Cross,1,0,0
Match 14,34:21,On Target,Koffi N'dri,NorthEast United FC,Delhi Dynamos FC,3.42,33.29,28.33,40.14,0,Not from Cross,1,0,0
Match 14,38:32,On Target,Kean Lewis,Delhi Dynamos FC,NorthEast United FC,4.15,37.69,11.48,46.01,0,Not from Cross,1,0,0
Match 14,38:32,Goal,Kean Lewis,Delhi Dynamos FC,NorthEast United FC,3.66,35.0,10.99,45.03,1,Not from Cross,1,0,0
Match 14,42:50,On Target,Koffi N'dri,NorthEast United FC,Delhi Dynamos FC,1.71,35.24,28.81,33.78,-1,Not from Cross,1,0,0
Match 14,45:0,On Target,Emiliano Alfaro,NorthEast United FC,Delhi Dynamos FC,1.95,35.73,5.86,40.38,-1,Directly from Cross,0,0,1
Match 14,49:11,On Target,Richard Gadze,Delhi Dynamos FC,NorthEast United FC,5.13,28.88,11.48,24.97,1,Not from Cross,1,0,0
Match 14,51:28,On Target,Emiliano Alfaro,NorthEast United FC,Delhi Dynamos FC,6.84,38.18,13.43,37.94,-1,Not from Cross,1,0,0
Match 14,51:32,On Target,Emiliano Alfaro,NorthEast United FC,Delhi Dynamos FC,3.66,37.45,15.14,37.69,-1,Not from Cross,1,0,0
Match 14,51:32,Goal,Emiliano Alfaro,NorthEast United FC,Delhi Dynamos FC,3.66,37.45,15.14,37.69,0,Not from Cross,1,0,0
Match 14,56:9,On Target,Richard Gadze,Delhi Dynamos FC,NorthEast United FC,4.15,27.41,7.57,21.78,0,Not from Cross,1,0,0
Match 14,57:25,Off Target,Holicharan Narzary,NorthEast United FC,Delhi Dynamos FC,3.91,40.38,15.38,45.77,0,Not from Cross,1,0,0
Match 14,62:5,Off Target,Emiliano Alfaro,NorthEast United FC,Delhi Dynamos FC,3.91,31.82,14.9,24.72,0,Not from Cross,1,0,0
Match 14,66:13,On Target,Kean Lewis,Delhi Dynamos FC,NorthEast United FC,2.93,32.8,17.09,44.55,0,Not from Cross,1,0,0
Match 14,76:24,Off Target,Marcelo Pereira,Delhi Dynamos FC,NorthEast United FC,0.73,30.35,28.57,21.05,0,Not from Cross,1,0,0
Match 14,80:30,On Target,Marcelo Pereira,Delhi Dynamos FC,NorthEast United FC,3.42,31.82,27.1,24.72,0,Not from Cross,1,0,0
Match 14,86:9,Off Target,Emerson Moura,Delhi Dynamos FC,NorthEast United FC,1.47,38.92,8.3,32.55,0,Not from Cross,1,0,0
Match 14,90:9,Off Target,Richard Gadze,Delhi Dynamos FC,NorthEast United FC,0.73,38.43,5.86,44.55,0,Not from Cross,1,0,0
Match 14,91:0,Off Target,Florent Malouda,Delhi Dynamos FC,NorthEast United FC,1.47,41.36,17.58,33.53,0,Directly from Cross,0,0,1
Match 15,1:55,Off Target,Sanjay Balmuchu,FC Goa,Atlético de Kolkata,-1.07,34.0,21.64,19.08,0,Not from Cross,1,0,0
Match 15,6:53,On Target,Sameehg Doutie,Atlético de Kolkata,FC Goa,5.13,37.2,15.87,38.43,0,Not from Cross,1,0,0
Match 15,6:53,Goal,Sameehg Doutie,Atlético de Kolkata,FC Goa,5.37,37.94,18.56,36.47,1,Not from Cross,1,0,0
Match 15,16:58,On Target,Trindade Goncalves,FC Goa,Atlético de Kolkata,7.21,28.77,11.51,24.62,-1,Not from Cross,1,0,0
Match 15,19:18,Off Target,Javier Grande,Atlético de Kolkata,FC Goa,5.07,29.85,21.49,36.15,1,Not from Cross,1,0,0
Match 15,28:15,On Target,Joffre Gonzalez,FC Goa,Atlético de Kolkata,5.37,33.85,25.18,37.38,-1,Not from Cross,1,0,0
Match 15,35:37,Off Target,Rafael Luiz,FC Goa,Atlético de Kolkata,2.93,39.41,10.74,21.54,-1,Not from Cross,1,0,0
Match 15,37:54,On Target,Stephen Pearson,Atlético de Kolkata,FC Goa,5.53,34.46,9.36,30.15,1,Directly from Cross,0,0,1
Match 15,39:1,On Target,Robin Singh,FC Goa,Atlético de Kolkata,4.76,36.31,14.89,39.23,-1,Not from Cross,1,0,0
Match 15,45:0,Off Target,Trindade Goncalves,FC Goa,Atlético de Kolkata,2.3,38.77,9.98,29.54,-1,Directly from Cross,0,0,1
Match 15,52:5,Off Target,Borja Fernández,Atlético de Kolkata,FC Goa,1.07,31.85,23.33,15.38,1,Not from Cross,1,0,0
Match 15,58:29,On Target,Javier Grande,Atlético de Kolkata,FC Goa,3.07,32.0,24.41,43.23,1,Not from Cross,1,0,0
Match 15,62:40,Off Target,Javier Grande,Atlético de Kolkata,FC Goa,0.0,30.77,23.18,47.23,1,Not from Cross,1,0,0
Match 15,71:36,On Target,Iain Hume,Atlético de Kolkata,FC Goa,3.68,33.23,22.57,19.69,1,Not from Cross,1,0,0
Match 15,77:29,On Target,Joffre Gonzalez,FC Goa,Atlético de Kolkata,3.66,35.98,11.72,36.71,-1,Not from Cross,1,0,0
Match 15,79:40,Off Target,Sameehg Doutie,Atlético de Kolkata,FC Goa,-0.77,35.08,11.21,22.92,0,Not from Cross,1,0,0
Match 15,85:20,On Target,Bikramjit Singh,Atlético de Kolkata,FC Goa,3.68,32.62,17.35,33.23,0,Not from Cross,1,0,0
Match 15,89:51,Off Target,Borja Fernández,Atlético de Kolkata,FC Goa,2.46,26.92,21.34,37.69,0,Not from Cross,1,0,0
Match 16,3:25,On Target,Cedric Hengbart,Kerala Blasters FC,FC Pune City,2.2,29.37,11.72,32.55,0,Not from Cross,1,0,0
Match 16,3:25,Goal,Cedric Hengbart,Kerala Blasters FC,FC Pune City,2.69,30.1,12.21,32.06,1,Not from Cross,1,0,0
Match 16,15:5,Off Target,Jesus Tato,FC Pune City,Kerala Blasters FC,7.08,43.57,19.53,33.29,-1,Not from Cross,1,0,0
Match 16,18:43,Off Target,Dramane Traore,FC Pune City,Kerala Blasters FC,2.44,38.43,15.63,37.2,-1,Not from Cross,1,0,0
Match 16,24:1,Off Target,Dramane Traore,FC Pune City,Kerala Blasters FC,6.1,31.08,19.53,33.04,-1,Not from Cross,1,0,0
Match 16,28:30,Off Target,Mohammed Rafi,Kerala Blasters FC,FC Pune City,1.95,38.92,28.33,36.96,1,Not from Cross,1,0,0
Match 16,36:58,Off Target,Mehtab Hossain,Kerala Blasters FC,FC Pune City,0.98,38.67,26.86,31.08,1,Not from Cross,1,0,0
Match 16,40:38,Off Target,Dramane Traore,FC Pune City,Kerala Blasters FC,3.17,37.45,15.14,37.69,-1,Not from Cross,1,0,0
Match 16,48:0,On Target,Michael Chopra,Kerala Blasters FC,FC Pune City,4.88,32.55,21.73,23.99,1,Not from Cross,1,0,0
Match 16,53:38,On Target,Mohammed Rafi,Kerala Blasters FC,FC Pune City,14.9,38.92,20.02,44.55,1,Not from Cross,1,0,0
Match 16,54:47,Off Target,Mehtab Hossain,Kerala Blasters FC,FC Pune City,8.3,40.38,32.48,33.29,1,Not from Cross,1,0,0
Match 16,55:20,Off Target,Jesus Tato,FC Pune City,Kerala Blasters FC,1.71,26.92,9.28,20.56,-1,Not from Cross,1,0,0
Match 16,60:17,Off Target,Rahul Bheke,FC Pune City,Kerala Blasters FC,0.73,27.9,21.73,23.25,-1,Not from Cross,1,0,0
Match 16,64:52,Off Target,Dramane Traore,FC Pune City,Kerala Blasters FC,0.98,27.66,8.06,26.92,-1,Not from Cross,1,0,0
Match 16,67:37,Off Target,Jonatan Lucca,FC Pune City,Kerala Blasters FC,1.71,27.41,10.99,27.9,-1,Not from Cross,1,0,0
Match 16,68:47,On Target,Mohamed Sissoko,FC Pune City,Kerala Blasters FC,2.44,34.76,18.31,32.55,-1,Not from Cross,1,0,0
Match 16,68:47,Goal,Mohamed Sissoko,FC Pune City,Kerala Blasters FC,0.73,35.24,19.05,32.31,0,Not from Cross,1,0,0
Match 16,72:36,On Target,Farukh Chaudhary,Kerala Blasters FC,FC Pune City,6.59,36.96,12.21,33.04,0,Not from Cross,1,0,0
Match 17,1:41,Off Target,Léo Costa,Mumbai City FC,Delhi Dynamos FC,5.13,42.83,15.63,43.57,0,Not from Cross,1,0,0
Match 17,7:45,Off Target,Léo Costa,Mumbai City FC,Delhi Dynamos FC,5.13,29.86,26.13,46.01,0,Not from Cross,1,0,0
Match 17,9:47,Off Target,David Addy,Delhi Dynamos FC,Mumbai City FC,6.35,31.08,26.62,43.08,0,Not from Cross,1,0,0
Match 17,14:35,Off Target,Florent Malouda,Delhi Dynamos FC,Mumbai City FC,2.2,39.41,15.14,37.94,0,Not from Cross,1,0,0
Match 17,16:59,On Target,Anwar Ali,Mumbai City FC,Delhi Dynamos FC,6.35,38.18,14.41,37.45,0,Not from Cross,1,0,0
Match 17,21:17,On Target,Sony Norde,Mumbai City FC,Delhi Dynamos FC,11.97,36.71,27.35,28.39,0,Not from Cross,1,0,0
Match 17,26:14,On Target,L'aihsanga Ralte,Mumbai City FC,Delhi Dynamos FC,6.84,39.9,11.72,51.89,0,Indirectly from Cross,0,1,0
Match 17,29:7,Off Target,Anwar Ali,Mumbai City FC,Delhi Dynamos FC,5.62,41.85,14.16,42.1,0,Not from Cross,1,0,0
Match 17,30:23,Off Target,David Addy,Delhi Dynamos FC,Mumbai City FC,2.44,26.19,26.62,40.87,0,Not from Cross,1,0,0
Match 17,33:31,On Target,Krisztián Vadócz,Mumbai City FC,Delhi Dynamos FC,6.1,35.0,12.94,42.83,0,Not from Cross,1,0,0
Match 17,33:31,Goal,Krisztián Vadócz,Mumbai City FC,Delhi Dynamos FC,6.1,35.0,12.94,42.83,1,Not from Cross,1,0,0
Match 17,38:41,Off Target,Sony Norde,Mumbai City FC,Delhi Dynamos FC,3.62,38.91,24.44,46.55,1,Not from Cross,1,0,0
Match 17,38:50,On Target,Krisztián Vadócz,Mumbai City FC,Delhi Dynamos FC,5.25,37.08,10.94,37.3,1,Not from Cross,1,0,0
Match 17,38:51,Goal,Krisztián Vadócz,Mumbai City FC,Delhi Dynamos FC,4.37,37.3,12.47,34.67,2,Not from Cross,1,0,0
Match 17,40:11,Off Target,Emerson Moura,Delhi Dynamos FC,Mumbai City FC,2.93,27.66,29.06,42.34,-2,Not from Cross,1,0,0
Match 17,51:52,On Target,Richard Gadze,Delhi Dynamos FC,Mumbai City FC,4.64,35.0,14.16,38.18,-2,Not from Cross,1,0,0
Match 17,51:52,Goal,Richard Gadze,Delhi Dynamos FC,Mumbai City FC,4.64,35.0,14.16,38.18,-1,Not from Cross,1,0,0
Match 17,60:24,Off Target,Léo Costa,Mumbai City FC,Delhi Dynamos FC,4.64,28.64,14.9,34.76,1,Not from Cross,1,0,0
Match 17,64:39,Off Target,Lucian Goian,Mumbai City FC,Delhi Dynamos FC,1.71,27.41,33.21,28.64,1,Not from Cross,1,0,0
Match 17,66:57,Off Target,Otacilio Alves,Mumbai City FC,Delhi Dynamos FC,0.0,34.51,23.93,27.9,1,Not from Cross,1,0,0
Match 17,69:38,On Target,Sony Norde,Mumbai City FC,Delhi Dynamos FC,2.2,35.73,8.3,37.45,1,Not from Cross,1,0,0
Match 17,69:38,Goal,Sony Norde,Mumbai City FC,Delhi Dynamos FC,2.2,35.73,8.3,37.45,2,Not from Cross,1,0,0
Match 17,71:26,On Target,Ibrahima Niasse,Delhi Dynamos FC,Mumbai City FC,6.35,37.94,13.67,37.69,-2,Not from Cross,1,0,0
Match 17,76:30,On Target,Badara Badji,Delhi Dynamos FC,Mumbai City FC,5.37,37.2,6.59,42.83,-2,Not from Cross,1,0,0
Match 17,76:30,Goal,Badara Badji,Delhi Dynamos FC,Mumbai City FC,4.64,37.2,6.84,43.81,-1,Not from Cross,1,0,0
Match 17,82:28,On Target,Marcelo Pereira,Delhi Dynamos FC,Mumbai City FC,3.91,40.38,14.9,36.96,-1,Not from Cross,1,0,0
Match 17,85:30,On Target,Matías Defederico,Mumbai City FC,Delhi Dynamos FC,1.71,33.04,15.87,16.15,0,Not from Cross,1,0,0
Match 17,85:53,Off Target,Matías Defederico,Mumbai City FC,Delhi Dynamos FC,0.98,28.39,19.53,42.59,0,Not from Cross,1,0,0
Match 17,91:0,Off Target,Matías Defederico,Mumbai City FC,Delhi Dynamos FC,2.44,27.41,31.99,14.44,0,Directly from Cross,0,0,1
Match 17,93:0,Off Target,Marcelo Pereira,Delhi Dynamos FC,Mumbai City FC,3.66,44.06,29.06,58.5,0,Not from Cross,1,0,0
Match 18,10:43,Off Target,Koffi N'dri,NorthEast United FC,Chennaiyin FC,3.66,26.43,29.06,35.24,0,Not from Cross,1,0,0
Match 18,28:45,On Target,Maurizio Peluso,Chennaiyin FC,NorthEast United FC,6.59,39.41,34.92,36.47,0,Not from Cross,1,0,0
Match 18,29:2,Off Target,Hans Mulder,Chennaiyin FC,NorthEast United FC,3.91,37.2,12.21,36.47,0,Not from Cross,1,0,0
Match 18,31:40,Off Target,Gustavo Lazzaretti,NorthEast United FC,Chennaiyin FC,0.98,28.88,9.28,30.59,0,Not from Cross,1,0,0
Match 18,42:9,On Target,Maurizio Peluso,Chennaiyin FC,NorthEast United FC,6.35,37.69,19.29,51.4,0,Not from Cross,1,0,0
Match 18,49:34,On Target,Davide Succi,Chennaiyin FC,NorthEast United FC,2.2,31.33,15.38,31.82,0,Indirectly from Cross,0,1,0
Match 18,49:34,Goal,Davide Succi,Chennaiyin FC,NorthEast United FC,1.47,29.62,13.92,30.84,1,Indirectly from Cross,0,1,0
Match 18,57:31,Off Target,Koffi N'dri,NorthEast United FC,Chennaiyin FC,5.86,30.59,32.23,28.39,-1,Not from Cross,1,0,0
Match 18,58:13,Off Target,Maurizio Peluso,Chennaiyin FC,NorthEast United FC,2.69,40.14,24.66,45.03,1,Not from Cross,1,0,0
Match 18,60:50,Off Target,Maurizio Peluso,Chennaiyin FC,NorthEast United FC,0.24,33.04,22.22,43.32,1,Not from Cross,1,0,0
Match 18,68:18,On Target,Koffi N'dri,NorthEast United FC,Chennaiyin FC,8.06,37.94,18.07,31.82,-1,Not from Cross,1,0,0
Match 18,73:40,On Target,Maurizio Peluso,Chennaiyin FC,NorthEast United FC,3.17,33.53,37.12,38.18,1,Not from Cross,1,0,0
Match 18,75:7,On Target,Koffi N'dri,NorthEast United FC,Chennaiyin FC,6.1,34.51,29.06,19.83,-1,Not from Cross,1,0,0
Match 18,84:33,On Target,Sumeet Passi,NorthEast United FC,Chennaiyin FC,6.1,39.65,15.63,32.06,-1,Not from Cross,1,0,0
Match 18,90:0,Off Target,Emiliano Alfaro,NorthEast United FC,Chennaiyin FC,5.37,41.61,18.07,41.36,-1,Directly from Cross,0,0,1
Match 18,92:0,Off Target,Hans Mulder,Chennaiyin FC,NorthEast United FC,0.98,38.18,16.12,20.56,1,Directly from Cross,0,0,1
Match 19,10:47,Off Target,Julio Cesar,FC Goa,Mumbai City FC,4.4,43.81,32.72,25.7,0,Not from Cross,1,0,0
Match 19,18:56,Off Target,Diego Forlán,Mumbai City FC,FC Goa,0.24,35.49,38.34,41.12,0,Not from Cross,1,0,0
Match 19,27:44,Off Target,Trindade Goncalves,FC Goa,Mumbai City FC,3.66,44.06,32.72,34.02,0,Not from Cross,1,0,0
Match 19,30:56,On Target,Julio Cesar,FC Goa,Mumbai City FC,10.99,34.02,27.84,12.48,0,Not from Cross,1,0,0
Match 19,37:0,Off Target,Rakesh Oram,Mumbai City FC,FC Goa,1.71,26.92,22.71,14.44,0,Not from Cross,1,0,0
Match 19,40:58,Goal,R'harlyson Felisbino,FC Goa,Mumbai City FC,4.17,38.62,12.82,45.54,1,Not from Cross,1,0,0
Match 19,40:59,On Target,R'harlyson Felisbino,FC Goa,Mumbai City FC,4.81,38.62,12.02,44.41,1,Not from Cross,1,0,0
Match 19,43:30,Off Target,Diego Forlán,Mumbai City FC,FC Goa,0.73,32.31,29.79,32.06,-1,Not from Cross,1,0,0
Match 19,46:34,On Target,Robin Singh,FC Goa,Mumbai City FC,5.37,32.55,10.99,33.29,1,Not from Cross,1,0,0
Match 19,47:37,Off Target,Diego Forlán,Mumbai City FC,FC Goa,4.15,32.31,30.77,28.39,-1,Not from Cross,1,0,0
Match 19,53:55,Off Target,Matías Defederico,Mumbai City FC,FC Goa,4.4,43.81,15.87,25.21,-1,Indirectly from Cross,0,1,0
Match 19,56:11,Off Target,Julio Cesar,FC Goa,Mumbai City FC,0.98,32.06,15.38,32.8,1,Not from Cross,1,0,0
Match 19,58:2,Off Target,Julio Cesar,FC Goa,Mumbai City FC,1.47,31.33,10.26,45.77,1,Not from Cross,1,0,0
Match 19,62:0,On Target,Jackichand Singh,Mumbai City FC,FC Goa,5.37,37.45,23.69,52.87,-1,Directly from Cross,0,0,1
Match 19,86:24,Off Target,Diego Forlán,Mumbai City FC,FC Goa,3.91,43.57,35.65,48.71,-1,Not from Cross,1,0,0
Match 19,88:43,On Target,Julio Cesar,FC Goa,Mumbai City FC,2.93,30.59,18.56,54.09,1,Not from Cross,1,0,0
Match 20,22:50,On Target,Marcelo Pereira,Delhi Dynamos FC,Atlético de Kolkata,3.42,29.37,30.77,27.66,0,Not from Cross,1,0,0
Match 20,23:58,On Target,Marcelo Pereira,Delhi Dynamos FC,Atlético de Kolkata,3.66,35.73,15.87,46.01,0,Not from Cross,1,0,0
Match 20,32:18,On Target,Juan Belencoso,Atlético de Kolkata,Delhi Dynamos FC,6.59,38.43,18.8,36.71,0,Not from Cross,1,0,0
